targetSpeed,actualSpeeds,actualTimes,speedFrac
-0.140807;0.183692;-0.40642;0.195406;0.143506;-0.0142478,-0.132255;0.173134;-0.382816;0.180729;0.134299;-0.0132985,0.57274,1
-0.143647;0.187173;-0.414213;0.200395;0.146584;-0.0145665,-0.137961;0.180191;-0.398587;0.190465;0.140432;-0.0139302,0.58074,1
-0.146479;0.190633;-0.421963;0.205433;0.149664;-0.0148862,-0.140807;0.183692;-0.406419;0.195406;0.143506;-0.0142478,0.58874,1
-0.149304;0.194068;-0.429665;0.210518;0.152746;-0.0152069,-0.143647;0.187173;-0.414213;0.200395;0.146584;-0.0145665,0.59674,1
-0.152118;0.197478;-0.437316;0.21565;0.155829;-0.0155283,-0.146479;0.190633;-0.421963;0.205433;0.149664;-0.0148862,0.60474,1
-0.154921;0.20086;-0.444911;0.220828;0.158911;-0.0158504,-0.149304;0.194068;-0.429665;0.210518;0.152746;-0.0152069,0.61274,1
-0.157712;0.204213;-0.452446;0.226052;0.161992;-0.0161732,-0.152118;0.197478;-0.437316;0.21565;0.155829;-0.0155283,0.62074,1
-0.160489;0.207534;-0.459916;0.231321;0.16507;-0.0164965,-0.154921;0.20086;-0.444911;0.220828;0.158911;-0.0158504,0.62874,1
-0.163251;0.210822;-0.467319;0.236635;0.168144;-0.0168203,-0.154921;0.20086;-0.444911;0.220828;0.158911;-0.0158504,0.636741,1
-0.165997;0.214075;-0.47465;0.241993;0.171214;-0.0171444,-0.157712;0.204213;-0.452446;0.226052;0.161992;-0.0161732,0.644741,1
-0.168726;0.21729;-0.481903;0.247395;0.174277;-0.0174688,-0.160489;0.207534;-0.459916;0.231321;0.16507;-0.0164965,0.652741,1
-0.171436;0.220466;-0.489077;0.252839;0.177333;-0.0177933,-0.165997;0.214075;-0.47465;0.241993;0.171214;-0.0171444,0.660741,1
-0.174126;0.223601;-0.496165;0.258326;0.180382;-0.0181179,-0.168726;0.21729;-0.481903;0.247395;0.174277;-0.0174688,0.668741,1
-0.176799;0.226699;-0.503177;0.263864;0.183426;-0.0184431,-0.171436;0.220466;-0.489076;0.252839;0.177333;-0.0177933,0.676756,1
-0.179445;0.229746;-0.510083;0.269434;0.186455;-0.0187676,-0.171436;0.220466;-0.489076;0.252839;0.177333;-0.0177933,0.684756,1
-0.182067;0.232746;-0.516892;0.275044;0.189472;-0.0190918,-0.174126;0.223601;-0.496165;0.258326;0.180381;-0.0181179,0.692756,1
-0.184664;0.235697;-0.5236;0.280694;0.192476;-0.0194158,-0.176794;0.226693;-0.503164;0.263854;0.18342;-0.0184425,0.700756,1
-0.187234;0.238598;-0.530202;0.286384;0.195467;-0.0197393,-0.182067;0.232746;-0.516892;0.275044;0.189472;-0.0190918,0.708756,1
-0.18978;0.241449;-0.5367;0.292117;0.198446;-0.0200627,-0.184664;0.235697;-0.5236;0.280694;0.192476;-0.0194158,0.716763,1
-0.192293;0.244243;-0.543079;0.297884;0.201407;-0.0203852,-0.187234;0.238598;-0.530202;0.286384;0.195467;-0.0197393,0.724763,1
-0.194777;0.24698;-0.549339;0.303688;0.204351;-0.0207069,-0.189777;0.241446;-0.536694;0.292112;0.198444;-0.0200624,0.732763,1
-0.197229;0.249659;-0.555477;0.30953;0.207276;-0.021028,-0.192293;0.244243;-0.543079;0.297884;0.201407;-0.0203851,0.740764,1
-0.199648;0.252277;-0.561489;0.315408;0.210183;-0.0213481,-0.194777;0.24698;-0.549339;0.303688;0.204351;-0.0207069,0.748764,1
-0.202033;0.254833;-0.567371;0.321322;0.213069;-0.0216673,-0.197229;0.249658;-0.555477;0.30953;0.207276;-0.021028,0.756764,1
-0.204383;0.257325;-0.573118;0.327271;0.215934;-0.0219854,-0.197229;0.249658;-0.555477;0.30953;0.207276;-0.021028,0.764764,1
-0.206696;0.259752;-0.578727;0.333255;0.218777;-0.0223024,-0.199648;0.252277;-0.561489;0.315408;0.210183;-0.0213481,0.772764,1
