targetSpeed,actualSpeeds,actualTimes,speedFrac
-1.00199;-1.55334;-1.89629;-1.61253;1.52512;-0.187529,-0.12059;0.158569;-0.350325;0.161485;0.121876;-0.0120268,0.532062,1
-1.00199;-1.55334;-1.89629;-1.61253;1.52512;-0.187529,-0.12059;0.158569;-0.350325;0.161485;0.121876;-0.0120268,0.540062,1
-1.00297;-1.55204;-1.89915;-1.6112;1.52612;-0.187628,-0.123445;0.16215;-0.358306;0.166117;0.124902;-0.0123357,0.548063,1
-1.00398;-1.55072;-1.90208;-1.60984;1.52714;-0.187729,-0.126301;0.165723;-0.366274;0.170801;0.12794;-0.0126463,0.556063,1
-1.00504;-1.54934;-1.90513;-1.6084;1.52821;-0.187835,-0.132015;0.172836;-0.382151;0.180324;0.134041;-0.0132721,0.564063,1
-1.00612;-1.54793;-1.90825;-1.60692;1.52931;-0.187943,-0.134869;0.176373;-0.390052;0.185162;0.137104;-0.0135871,0.572063,1
-1.00722;-1.54649;-1.91143;-1.6054;1.53043;-0.188054,-0.13772;0.179894;-0.397922;0.190049;0.140172;-0.0139034,0.580063,1
-1.00834;-1.54503;-1.91468;-1.60384;1.53157;-0.188168,-0.140566;0.183396;-0.405758;0.194986;0.143246;-0.0142209,0.588063,1
-1.00949;-1.54353;-1.91798;-1.60224;1.53274;-0.188284,-0.143407;0.186879;-0.413554;0.199971;0.146323;-0.0145395,0.596063,1
-1.00949;-1.54353;-1.91798;-1.60224;1.53274;-0.188284,-0.143407;0.186879;-0.413554;0.199971;0.146323;-0.0145395,0.604063,1
-1.01066;-1.54201;-1.92135;-1.6006;1.53394;-0.188403,-0.14624;0.190341;-0.421308;0.205004;0.149403;-0.0148591,0.612063,1
-1.01185;-1.54046;-1.92478;-1.59892;1.53516;-0.188525,-0.149065;0.193778;-0.429015;0.210085;0.152485;-0.0151797,0.620063,1
-1.01308;-1.53886;-1.92833;-1.59717;1.53642;-0.188651,-0.154684;0.200575;-0.44427;0.220388;0.158651;-0.0158231,0.628063,1
